,Unnamed: 0,Real Price,Predicted Price
0,2024-05-02,173.02999877929688,173.35403002272932
1,2024-05-03,183.3800048828125,174.09949548768037
4,2024-05-06,181.7100067138672,174.8982648858853
5,2024-05-07,182.3999938964844,175.6015161812774
6,2024-05-08,182.7400054931641,176.41765679275144
7,2024-05-09,184.57000732421875,177.53642656673404
8,2024-05-10,183.0500030517578,178.3376354772502
11,2024-05-13,186.27999877929688,179.71707951602218
12,2024-05-14,187.42999267578125,181.32382246274628
13,2024-05-15,189.72000122070312,182.5372087806441
14,2024-05-16,189.83999633789065,182.66934903083407
15,2024-05-17,189.8699951171875,183.09748344144944
18,2024-05-20,191.0399932861328,183.5549391401337
19,2024-05-21,192.3500061035156,184.0790807345325
20,2024-05-22,190.8999938964844,184.52527578580933
21,2024-05-23,186.8800048828125,185.2095825592678
22,2024-05-24,189.97999572753903,185.5818556734818
26,2024-05-28,189.9900054931641,185.8592470793989
27,2024-05-29,190.2899932861328,185.91397700777188
28,2024-05-30,191.2899932861328,185.94374612901868
29,2024-05-31,192.25,185.9570102406431
