Date,Open,High,Low,Close,Adj Close,Volume,Company,Symbol,MarketCap,Price Change,Percent Change
2024-05-31,191.44000244140625,192.57000732421875,189.91000366210938,192.25,192.25,75115100,APPLE,AAPL,2947980722176,0.9600067138671875,0.5018593484036549
2024-05-31,173.39999389648438,174.4199981689453,170.97000122070312,173.9600067138672,173.9600067138672,28078300,GOOGLE,GOOG,2139951595520,0.4000091552734375,0.23047312796740105
2024-05-31,416.75,416.75,404.510009765625,415.1300048828125,415.1300048828125,47965200,MICROSOFT,MSFT,3085374849024,0.459991455078125,0.11092951990325783
2024-05-31,178.3000030517578,179.2100067138672,173.8699951171875,176.44000244140625,176.44000244140625,58861600,AMAZON,AMZN,1836140462080,-2.8800048828125,-1.6060700229647673
2024-05-31,178.5,180.32000732421875,173.82000732421875,178.0800018310547,178.0800018310547,67209500,TESLA,TSLA,567932747776,-0.709991455078125,-0.3971091681523098
2024-05-31,1125.199951171875,1127.1700439453125,1069.4000244140625,1096.3299560546875,1096.3299560546875,61183200,NVIDIA,NVDA,2696785428480,-8.6700439453125,-0.7846193615667407
2024-05-31,165.6999969482422,166.97000122070312,163.83999633789062,166.85000610351562,166.85000610351562,4904100,IBM,IBM,153268912128,1.220001220703125,0.7365822524525667
2024-05-31,173.1199951171875,177.89999389648438,172.2100067138672,177.61000061035156,177.61000061035156,5768600,BOEING,BA,109031940096,4.8600006103515625,2.813314390941568
2024-05-31,644.010009765625,648.5800170898438,628.2999877929688,641.6199951171875,641.6199951171875,4068800,NETFLIX,NFLX,276474691584,-6.03997802734375,-0.9325847323894854
2024-05-31,30.219999313354492,30.959999084472656,29.940000534057617,30.850000381469727,30.850000381469727,95763500,INTEL,INTC,131324436480,0.6599998474121094,2.186153811648861
