Symbol,Company,Close,Open,High,Low,Volume,MarketCap,Percent Change
AAPL,Apple Inc.,192.25,191.44000244140625,192.57000732421875,189.91000366210938,75115100,2947980722176,0.5018593484036549
GOOG,Google,173.9600067138672,173.39999389648438,174.4199981689453,170.97000122070312,28078300,2139951595520,0.23047312796740105
MSFT,Microsoft,415.1300048828125,416.75,416.75,404.510009765625,47965200,3085374849024,0.11092951990325783
AMZN,Amazon,176.44000244140625,178.3000030517578,179.2100067138672,173.8699951171875,58861600,1836140462080,-1.6060700229647673
TSLA,Tesla Inc.,178.0800018310547,178.5,180.32000732421875,173.82000732421875,67209500,567932747776,-0.3971091681523098
NVDA,Nvidia,1096.3299560546875,1125.199951171875,1127.1700439453125,1069.4000244140625,61183200,2696785428480,-0.7846193615667407
IBM,IBM,166.85000610351562,165.6999969482422,166.97000122070312,163.83999633789062,4904100,153268912128,0.7365822524525667
BA,Boeing,177.61000061035156,173.1199951171875,177.89999389648438,172.2100067138672,5768600,109031940096,2.813314390941568
NFLX,Netflix,641.6199951171875,644.010009765625,648.5800170898438,628.2999877929688,4068800,276474691584,-0.9325847323894854
INTC,Intel Inc.,30.850000381469727,30.219999313354492,30.959999084472656,29.940000534057617,95763500,131324436480,2.186153811648861
